Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Email_Address,Phone_Number,State_of_Origin,Department,Job_Title,Employment_Type,Employment_Status,Date_of_Hire,Date_of_Exit,Monthly_Gross_Salary_NGN,Bank_Name,Bank_Account_Number,Education_Level,Years_of_Experience,Annual_Leave_Balance_Days,Performance_Rating_2024,Manager_Employee_ID,Office_Location,National_ID_Number,Tax_Identification_Number
EMP-00181,Chidi,Okwu,Male,27.12.1982,chidi_okwu@gtech-solutions.ng,2.34E+13,Abuja,Finance Dept,Accountant,CONTR,Active,18/02/2019,,NGN 631000,Stanbic IBTC,2143226860,B.Sc,23,12,N/A,EMP-00933,Lagos HQ,65024120957,75539501-5055
EMP-00417,omowunmi,Adeola,Female,11/1/1989,oadeola@gtechsol.ng,+234 085 549 1844,Kano,CUSTOMER SERVICE,CS Team Lead,part-time,Active,4/17/2025,,240000 NGN,Fidelity Bank,7752985220,SSCE,9,14,Good,EMP-00523,Kano Office,74029286433,13848263-3483
EMP-01227,chiamaka, Obi,Ms,17/06/1981,chiamaka227@gtechsolutions.ng,+234 073 738 0575,Not Available,legal,Company Secretary,PT,Not Available,3-Apr-19,,"N439,000",FCMB,2776406053,SSCE,23,12,B,EMP-00537,Lagos HQ,99798431522,Unknown
EMP-00799,LANRE,Ogundimu,MALE,18-May-88,ogundimu.lanre@g-tech.com.ng,+234 078 657 8848,Cross River,marketing,Digital Marketing Officer,contract,Active,5-Apr-18,,"N355,000",Access Bank,8877013789,HND,5,12,Needs Improvement,EMP-00793,LAGOS HQ,N/A,14375902-2635
EMP-00381,Nnamdi,Mohammed,Mr,5/10/1994,nmohammed@gtechsolutions.com.ng,2.34E+13,Kano,SUPPLY CHAIN,Logistics Coordinator,FT,On Leave,25-Oct-19,,149000,Zenith Bank,8682236820,Ph.D,9,21,D,EMP-00201,Port Harcourt Branch,13175362647,99627886-9334
EMP-00211,Ifeanyi,Okwu,M,5-Aug-86,iokwu@gtechsolutions.ng,2.34E+12,Ondo,Finance,Internal Auditor,Contract,Active,9/4/2024,,NGN 379000,FCMB,8846797777,B.Eng,24,12,1,NULL,GRA PH,66048736826,26575085-2588
EMP-01119,dele,Adeola,MALE,17.06.1987,dele119@gtech-solutions.ng,827844809,Abuja,Marketing,Content Strategist,PT,Suspended,11/1/2022,,433000,N/A,3875675824,B.Sc,5 yrs,7,1,EMP-01207,Lekki,85522950944,12493816-5445
EMP-00011,Wale, Adeola,Male,27.12.1993,wale.adeola@gtechsol.ng,2.34E+11,Bayelsa,Marketing,Brand Manager,part-time,Active,19-Mar-19,,"#289,000",Stanbic IBTC,4085320828,M.Sc,14,2,A,EMP-00942,Lekki,84987769453,21631697-5569
EMP-00008,Chinedu , Fayemi,MALE,22.07.1996,chinedu008@gtechsol.ng,2.34E+12,Ogun,Finance,Treasury Officer,Contractor,Active,20-Jun-21,,347.0K,Stanbic IBTC,464219790,Ph.D,24,2,1,EMP-00482,Kano Office,20037917693,61536717-9099
EMP-00401,CHUKWUEMEKA,Adewale,m,25-Aug-81,chukwuemeka_adewale@g-tech_com_ng,2.34E+12,Ekiti,EXECUTIVE,Chief Executive Officer,CONTRACT,Active,29/08/2020,,"#1,386,000",GTBank,5245302960,HND,15,15,1,,LAGOS HQ,NIL,12186404-2978
EMP-00647,Uzoamaka ,Taiwo,Female,3/11/1980,uzoamaka.taiwo@g-tech.com.ng,2.34E+11,Benue,Sales,Account Manager,Part-Time,Active,4-Jul-20,,249.0K,Ecobank,9274409986,MBA,21,21,C,EMP-00332,GRA PH,,17898708-5296
EMP-01389,oluwatobi,Adewale ,MALE,7/10/1977,oluwatobi@gtechsolutions.com.ng,2.34E+12,Oyo,Marketing,Content Strategist,Part-Time,Active,6/3/2021,,369000 NGN,Stanbic IBTC,3359724438,HND,6,2,Below Average,EMP-00728,Lagos - Head Office,72387484893,NULL
EMP-00335,Chinwe,Eze,F,07.11.1982,chinwe@g-tech.com.ng,2.34E+11,Plateau,Operations,Operations Coordinator,FULL-TIME,Active,11/29/2022,,"??124,000",Polaris Bank,1993529899,M.Sc,4,5,Average,EMP-00049,Ikeja,44974700026,72312890-7482
EMP-00317,Emeka ,Oduya,m,1/5/2000,emeka_oduya@gtechsolutions.com.ng,2.34E+12,Benue,Human Resources,Recruitment Specialist,FT,Terminated,5/15/2020,5/1/2022,370000,UBA,5082964045,B.A,25,15,A,EMP-01314,Lagos HQ,,58684436-4725
EMP-00684,Onyinye ,Nwosu,f,10-Oct-99,onwosu@gtechsolutions.ng,811297462,Nasarawa,Operations Dept,Operations Manager,Contractor,Active,4/20/2018,,NGN 261000,n/a,7246386735,B.Sc,4,14,C,EMP-01174,Lekki,74772011040,78356669-5101
EMP-00281,rotimi,obi,m,7/25/1979,rotimi.obi@gtechsolutions.com.ng,2.34E+13,Abuja,supply chain,Warehouse Manager,FULL-TIME,Inactive,10/7/2023,,"??339,000",Fidelity Bank,370788223,MBA,7,5,3,TBD,Wuse II,69177682938,#N/A
EMP-00003,chidi,Garba,Mr,5-Apr-94,chidi003@gtechsol.ng,2.34E+12,Ogun,Technology,Product Manager,Part-Time,Suspended,14-Jan-18,,519000 NGN,GTBank,6555540744,M.Sc,3,2,Needs Improvement,EMP-00263,Wuse II,89638346578,
EMP-00873,Adekunle,Adeola,Male,2/18/1997,adekunle.adeola@gtechsol.ng,+234 075 323 3234,Plateau,Executive,Chief Operating Officer,Full Time,Active,2/1/2025,,"??2,006,000",GTBank,903317757,HND,21,7,A,,Wuse II,20152979685,TBD
EMP-01302, Obiageli,nwofor,f,22-Aug-98,nwofor.obiageli@g-tech.com.ng,2.34E+12,Osun,Technology,Systems Administrator,Full Time,Active,13.11.2024,,NGN 531000,Access Bank,1021529505,M.Sc,8,Unknown,1,EMP-01256,Wuse II,53916913946,91786739-4779
EMP-00052,LANRE,Nwachukwu,Male,5/25/1989,nwachukwu.lanre@gtech-solutions.ng,+234 075 474 4423,Kaduna,HUMAN RESOURCES,Recruitment Specialist,Contractor,Active,8-Mar-22,,"N156,000",Sterling Bank,6669078244,B.Sc,25,20,4,NIL,VI Office,5064138367,n/a
EMP-00116,nike,Adewale,FEMALE,10-Jul-78,nike@g-tech.com.ng,2.34E+11,Benue,Supply_Chain,Logistics Coordinator,FULL-TIME,Active,10/30/2023,,"#304,000",GTBank,2349823507,B.A,22,0,Exceeds Expectations,EMP-00812,LAGOS HQ,12669121535,64262755-3011
EMP-00078,Kemi,Okonkwo,F,7-Oct-82,kemi078@gtechsolutions.ng,725773013,Enugu,Operations,Operations Officer,CONTR,Active,4-Mar-18,,145.0K,Sterling Bank,6992094064,OND,19,15,Exceeds Expectations,EMP-00696,Ikeja,90714163356,#N/A
EMP-00440,Oluwakemi ,Onuoha,FEMALE,21/12/1998,oluwakemi_onuoha@gtechsol.ng,709548139,Enugu,Operations Dept,Operations Coordinator,PT,Active,1/23/2023,,305000,Not Available,187419870,OND,2,7,A,EMP-00192,Kano Office,1154617580,16548156-4551
EMP-00515,Niyi,Okwu,MALE,18.10.1981,niyi_okwu@g-tech.com.ng,874153748,Bayelsa,Marketing Dept,Content Strategist,FT,Active,20/10/2021,,"N430,000",Zenith Bank,4079915074,B.Eng,23,2,B,EMP-01195,VI Office,90509260001,Not Available
EMP-01287,nkiruka,Nwachukwu,f,21-Mar-76,nnwachukwu@gtech-solutions.ng,2.34E+12,Plateau,Finance,Finance Analyst,Contract,Active,27/02/2021,,"#446,000",Access Bank,"6,341,507,678",HND,1,0,1,EMP-01014,Wuse II,60725093330,66037674-9960
EMP-00106,Ifeanyi, Adewale,Mr,3/4/1976,ifeanyi_adewale@g-tech.com.ng,0087-376-8343,Unknown,SALES,NULL,Full-Time,Active,8/28/2022,,309000 NGN,Fidelity Bank,127153596,Ph.D,21,15,N/A,EMP-00078,lagos hq,14560833181,82440371-9315
EMP-01089,Femi,Adegoke ,MALE,26/03/2000,femi_adegoke@gtechsolutions.ng,2.34E+12,Anambra,Executive Dept,Chief Operating Officer,Full-Time,Active,5/4/2024,,2273000,Polaris Bank,2828945638,B.Sc,8,10,Good,,Wuse II,68294817049,75513510-3440
EMP-00750,TOYIN,Adegoke,f,2/24/1981,adegoke.toyin@g-tech.com.ng,2.34E+12,Oyo,finance,Treasury Officer,PART-TIME,Active,8/17/2018,,419000 NGN,First Bank,2231888756,Unknown,23,2,N/A,EMP-00147,Lagos Island,18154478893,
EMP-00626,funmilayo,Balogun,f,11.03.1992,funmilayo.balogun@gtechsolutions.ng,+234 083 519 9941,Imo,Marketing,Digital Marketing Officer,contract,Active,6/13/2024,,"#405,000",Sterling Bank,"4,765,689,806",OND,6,14,Needs Improvement,EMP-00884,VI Office,79736799010,76364384-2262
EMP-00592,Ronke,Musa,Ms,21.06.2000,ronke@gtech-solutions.ng,+234 078 396 3486,Ekiti,sales,Account Manager,Contractor,Active,12/3/2023,,NGN 195000,UBA,"1,808,937,633",B.Sc,10+ years,21,2,EMP-00748,Kano Office,33057543700,#N/A
EMP-01211,Oluwakemi,Nwofor,FEMALE,1/22/1989,oluwakemi@gtechsolutions.ng,2.34E+13,Rivers,Executive,Chief Financial Officer,Part Time,Suspended,6/8/2018,,"N1,753,000",Polaris Bank,9288765448,OND,19,14,Good,,VI Office,NULL,60472885-3306
EMP-01185, Nneka,EZE,Female,3/2/1993,nneka185@gtechsolutions.com.ng,2.34E+12,Ondo,SALES,Account Manager,contract,Active,1/22/2023,,"N263,000",Stanbic IBTC,4856787606,Ph.D,3,5,Excellent,EMP-00851,Lagos HQ,73281975077,77590047-1303
EMP-01464,Omowunmi , Adeyemi,Female,12.11.1988,omowunmi.adeyemi@gtech-solutions.ng,2.34E+13,Plateau,Operations,Facilities Manager,FT,Active,22.02.2020,,344000 NGN,UBA,4041684774,OND,4,10,Below Average,EMP-00465,GRA PH,61724053947,95513878-4169
EMP-01348,ebele,Garba,f,21/01/1977,ebele.garba@gtechsolutions.com.ng,2.34E+13,Edo,customer service,Customer Service Rep,Part Time,Active,30-Jan-19,,125.0K,Access Bank,826994698,Ph.D,8,21,Needs Improvement,EMP-01429,Kano Office,TBD,94430713-2648
EMP-00722,FOLAKE,NWACHUKWU,Female,28.05.1982,nwachukwu.folake@gtechsolutions.com.ng,805072407,Lagos,Legal,Compliance Officer,FULL-TIME,N/A,6/1/2022,,609000 NGN,Stanbic IBTC,"4,380,413,582",HND,17,#N/A,TBD,EMP-00522,Lagos Island,68348752560,84034055-3326
EMP-00386,Adunola,AKINTOLA,Female,10/20/1990,aakintola@gtechsol.ng,2.34E+11,Abuja,LEGAL,Legal Manager,PT,Terminated,22-Oct-22,19-Mar-24,367000 NGN,Sterling Bank,2255494061,HND,9,12,Meets Expectations,EMP-01173,GRA PH,2548536268,47698267-8661
EMP-01122, Wale,Nwachukwu,M,27-Apr-90,nwachukwu.wale@gtech-solutions.ng,2.34E+12,Anambra,Human_Resources,Recruitment Specialist,PT,Active,04.01.2023,,402000,Stanbic IBTC,6425164431,OND,20,15,4,EMP-00908,LAGOS HQ,15542373997,12718005-5441
EMP-01065, Tunji,okafor,Male,15-Sep-99,tunji.okafor@gtech-solutions.ng,2.34E+12,Lagos,executive,Chief Financial Officer,Contract,Active,6-Feb-22,,2232.0K,UBA,5231184406,B.Sc,Not Available,21,N/A,,Port Harcourt Branch,44406615922,89314327-9039
EMP-00357, Wale,Okonkwo ,Mr,05.05.1990,okonkwo.wale@gtech-solutions.ng,+234 072 117 5074,Oyo,Marketing,Brand Manager,Full-Time,Active,15-Jun-24,,NGN 429000,Ecobank,2694638707,Not Available,5,15,Average,EMP-01428,Wuse II,66271358969,57409708-4964
EMP-00468,Lanre,Abdullahi,Mr,7/15/1988,lanre468@g-tech.com.ng,2.34E+12,Abuja,HUMAN RESOURCES,HR Officer,Contract,Inactive,9/15/2023,,"??238,000",Stanbic IBTC,675621377,M.Sc,9,2,5,EMP-00534,lagos hq,NIL,66690547-1327
EMP-01040, Wale,Ogundele,m,7/19/2000,wale040@gtechsolutions.ng,+234 080 478 4518,Enugu,marketing,Marketing Analyst,Part Time,Active,1-Jan-20,,"N273,000",GTBank,6576905237,B.A,2,21,N/A,EMP-00443,lag hq,NIL,70912151-2695
EMP-00227,Chidinma,USMAN,F,28-Aug-95,chidinma.usman@g-tech.com.ng,2.34E+12,TBD,Finance,Internal Auditor,Part-Time,Active,7/4/2024,,"??642,000",Stanbic IBTC,"1,407,650,680",OND,1,10,A,EMP-00510,Lagos - Head Office,74238856527,54796947-6763
EMP-01108, Lanre,Fayemi,Mr,4/2/1976,lanre_fayemi@gtech-solutions.ng,872632397,Rivers,Sales Dept,Sales Executive,Contractor,Active,10/3/2018,,"N157,000",Keystone Bank,6368400111,B.Eng,3,2,N/A,EMP-00016,VI Office,26582165514,33169103-1179
EMP-01225,Sola,Adeyemi,Male,6/15/2000,sadeyemi@gtechsolutions.ng,+234 073 264 5723,,technology,Systems Administrator,Part-Time,On Leave,14-Feb-18,,856000,GTBank,1037928817,B.A,17,NULL,Outstanding,EMP-00240,lagos hq,Not Available,76561936-3612
EMP-01407,Shade ,Nwachukwu,f,5/23/1982,shade.nwachukwu@gtech-solutions.ng,2.34E+12,Lagos,Sales Dept,Senior Sales Rep,FT,Active,8/31/2020,,417000 NGN,Polaris Bank,5903010349,MBA,19,7,Good,EMP-00720,Lagos Island,87449150222,54193779-2101
EMP-00650,Ayo ,Balogun,M,7/5/1975,ayo.balogun@gtechsolutions.ng,2.34E+12,Anambra,HUMAN RESOURCES,HR Officer,Contract,Active,1-Nov-23,,144000 NGN,Fidelity Bank,522365963,Ph.D,14,20,3,EMP-00929,lag hq,73029406957,56288555-3748
EMP-00934,Emeka,Ogundele ,MALE,10/6/1978,emeka@g-tech.com.ng,801885793,Kaduna,Executive,Chief Technology Officer,FT,Terminated,5/2/2023,12/18/2023,"#3,140,000",First Bank,968074852,MBA,14,10,Meets Expectations,,lag hq,63238137057,Unknown
EMP-00568,uzoamaka,garba,f,26.01.1975,uzoamaka_garba@g-tech.com.ng,0089-967-4575,Abuja,operations,Process Analyst,FT,Active,7/23/2020,,"#361,000",Zenith Bank,"5,787,845,946",SSCE,10,12,C,EMP-01439,Wuse II,23725442253,19074250-8633
EMP-01370,Chinedu,Okafor,MALE,23-Sep-79,chinedu370@gtechsolutions.ng,2.34E+11,Kaduna,TECHNOLOGY,Systems Administrator,Full-Time,Active,17.03.2023,,900000,Stanbic IBTC,3470689625,MBA,8,2,D,EMP-01374,lagos hq,59329544055,94806283-7321
EMP-00177,Damilola,Oduya,male,12.06.1993,damilola_oduya@gtechsolutions.com.ng,0080-280-4542,Ekiti,Finance,Internal Auditor,PART-TIME,Active,10/2/2022,,319.0K,UBA,8396192882,B.Eng,6,2,A,EMP-00644,VI Office,53795381649,39187446-2686
EMP-00349,Gbemi,Usman,Male,1/18/1992,gbemi_usman@g-tech.com.ng,2.34E+11,Enugu,Sales,Account Manager,PT,Suspended,8/14/2024,,275000 NGN,Ecobank,3040880495,B.Eng,20,10,D,EMP-00939,LAGOS HQ,69881649804,11325577-3730
EMP-00837,Chioma,ADEWALE,Ms,5/7/1987,adewale.chioma@gtech-solutions.ng,2.34E+13,Ekiti,Customer_Service,Customer Service Rep,Contract,TBD,25/02/2018,,NGN 101000,Access Bank,"5,239,348,773",B.Eng,1,5,A,EMP-00354,LAGOS HQ,88880497046,54353813-6287
EMP-00791,Ronke,Nwachukwu,Female,10/18/2000,ronke@gtechsolutions.com.ng,0084-698-4113,Not Available,operations,Process Analyst,FULL-TIME,Active,1/7/2023,,"??369,000",Ecobank,"3,009,005,534",OND,3years,20,Exceeds Expectations,#N/A,LAGOS HQ,40731971890,34276541-1949
EMP-00035,ADEKUNLE,Musa,MALE,28-Dec-80,adekunle.musa@gtechsolutions.com.ng,2.34E+11,Ondo,LEGAL,Company Secretary,Contractor,On Leave,02.06.2018,,289000,Fidelity Bank,4301648719,OND,7,12,D,EMP-01472,lagos hq,49329668516,34800912-3303
EMP-01398,Funmilayo,adeleke,f,8/20/1985,funmilayo.adeleke@gtechsolutions.com.ng,888646241,Ondo,technology,Data Analyst,full-time,Active,12/11/2020,,"#553,000",FCMB,8463699824,SSCE,3,21,Outstanding,EMP-00186,GRA PH,27833285968,TBD
EMP-00323,Chidinma,Adegoke,female,20/03/2000,chidinma@gtech-solutions.ng,727442888,Osun,Human_Resources,HR Officer,part-time,Active,9/22/2020,,189000,Keystone Bank,9218525137,SSCE,19,14,n/a,EMP-00859,Port Harcourt Branch,27558214770,26922485-1017
EMP-00235,Dele,Nwofor ,M,2/8/1991,nwofor.dele@gtechsol.ng,2.34E+12,Unknown,SALES,Business Development Officer,part-time,Active,3/8/2023,,449000,Zenith Bank,"9,376,966,049",N/A,NULL,12,Outstanding,EMP-01402,,69130981079,47912273-7336
EMP-00498, Obiageli,OGUNDELE,Ms,9/16/1986,obiageli@gtechsol.ng,2.34E+12,Delta,Technology,IT Support,Part-Time,On Leave,12/30/2023,,NGN 599000,Access Bank,"8,392,972,673",HND,8,15,Needs Improvement,EMP-01442,LAGOS HQ,15019679720,57029564-2206
EMP-00247,Folake,Ajayi ,Female,07.06.1976,folake_ajayi@gtechsol.ng,781000159,Plateau,Customer_Service,CS Team Lead,FT,Active,8/5/2018,,82000 NGN,Polaris Bank,206737861,B.Sc,7,0,Exceeds Expectations,EMP-00231,Kano Office,98440971231,TBD
EMP-01177,Toyin,Fayemi,f,7/20/1984,toyin@gtech-solutions.ng,2.34E+12,Ekiti,Technology Dept,Systems Administrator,contract,Suspended,28-Feb-25,,437000 NGN,Zenith Bank,9244545206,MBA,1 year,14,A,EMP-00327,lagos hq,13724204653,Unknown
EMP-00858,obinna,Musa,Mr,10/10/1999,obinna@gtechsolutions.com.ng,2.34E+12,Plateau,Finance,Finance Analyst,part-time,Terminated,10/16/2024,2/18/2025,"??302,000",FCMB,6410205325,HND,3,2,D,EMP-01296,lagos hq,86474019255,26197723-8422
EMP-01451,REMI, Okwu,M,3/18/1979,okwu.remi@g-tech.com.ng,+234 076 415 8010,Kaduna,marketing,Marketing Executive,CONTRACT,Active,6/24/2018,,"#164,000",Access Bank,7885004596,M.Sc,14,10,A,EMP-01215,Lagos HQ,36545315743,89394246-8860
EMP-01097,Uchechi,Chukwu,female,4-Feb-87,uchechi_chukwu@gtechsol.ng,735936728,Rivers,Legal Dept,Company Secretary,PT,Active,2/13/2024,,"N232,000",Ecobank,7092067328,B.Sc,8,2,5,EMP-00153,lag hq,n/a,89520435-5521
EMP-00841,Obinna, Suleiman,Mr,12/19/1996,suleiman.obinna@gtechsolutions.com.ng,2.34E+12,Ondo,Technology,Software Developer,FT,Terminated,19.12.2019,4/3/2020,"#748,000",First Bank,661473357,B.Eng,16,0,Exceeds Expectations,EMP-00588,Abuja Office,#N/A,89585155-6853
EMP-00034,Wale,Garba,M,6/18/1990,garba.wale@gtech-solutions.ng,+234 077 599 3143,Edo,Marketing,Marketing Analyst,FULL-TIME,Active,10/6/2020,,282000,Ecobank,"8,272,725,281",B.A,15,15,Needs Improvement,EMP-01152,Port Harcourt Branch,93308330165,NIL
EMP-00120,Remi,Ibrahim,M,11/7/1977,ibrahim.remi@gtechsolutions.ng,2.34E+11,Enugu,Human Resources Dept,Learning & Development Officer,Full Time,Active,1/2/2022,,253000,Ecobank,3691907159,SSCE,16,14,Good,EMP-00559,Lagos Island,48207001594,64627534-6954
EMP-00986,Titilayo ,Afolabi,Ms,1-Jun-84,titilayo.afolabi@g-tech.com.ng,2.34E+13,Edo,sales,Sales Manager,full-time,Terminated,6/13/2022,5/7/2024,"N300,000",Fidelity Bank,5212023156,M.Sc,18,20,C,EMP-01036,Lagos HQ,65285443052,67075728-2691
EMP-01269,chiamaka,Adeyemi,Female,12/6/1988,adeyemi.chiamaka@gtechsolutions.com.ng,2.34E+13,Cross River,Operations Dept,Operations Officer,CONTRACT,n/a,7-Dec-19,,"#311,000",Fidelity Bank,165797227,HND,3years,7,N/A,EMP-00938,GRA PH,67488139142,41003958-9174
EMP-00771,Dapo,Oduya,MALE,5/15/1987,dapo_oduya@gtech-solutions.ng,0082-577-9689,Lagos,EXECUTIVE,Chief Executive Officer,PT,Active,23.03.2019,,NGN 1049000,Keystone Bank,"7,807,706,649",MBA,19,5,Excellent,,Port Harcourt Branch,10285514382,NULL
EMP-00047,Ifeoma,ajayi,f,4/10/1995,ifeoma_ajayi@gtechsolutions.com.ng,2.34E+11,Osun,EXECUTIVE,Chief Technology Officer,Part-Time,Terminated,1/30/2024,3/21/2024,2607.0K,Keystone Bank,5785481124,SSCE,5,7,A,,Port Harcourt Branch,44948126042,27809465-5090
EMP-01130,Yetunde,MUSA,Ms,3/14/1995,yetunde130@gtechsolutions.ng,2.34E+12,Kano,operations,Facilities Manager,Full Time,Active,1/7/2020,,293.0K,Zenith Bank,3204297399,MBA,11,0,3,EMP-00698,VI Office,95197439504,49816692-5928
EMP-01254, Segun,Ajayi,Mr,9/16/1996,sajayi@gtech-solutions_ng,2.34E+12,Kano,LEGAL,Company Secretary,contract,Active,21/11/2019,,??474,Polaris Bank,8540996323,Ph.D,14,15,3,EMP-01138,Ikeja,40732845688,41565579-3352
EMP-01457,Yetunde,Fayemi,FEMALE,04.08.1990,yetunde.fayemi@g-tech.com.ng,748808441,Abuja,supply chain,Supply Chain Analyst,contract,Active,10/23/2021,,311000,Sterling Bank,1462837990,M.Sc,19,15,2,EMP-00111,Port Harcourt Branch,77508639277,89218063-5127
EMP-01272,EBELE,oduya,f,7/1/1980,ebele_oduya@g-tech.com.ng,856156068,Unknown,SALES,Account Manager,contract,Active,1/12/2018,,"??476,000",UBA,9350447188,B.A,12,20,Meets Expectations,EMP-00127,Wuse II,14848946541,34198427-5543
EMP-00845,Ngozi,afolabi,F,18-Nov-89,ngozi.afolabi@gtech-solutions.ng,824464447,Oyo,CUSTOMER SERVICE,Customer Experience Officer,contract,Active,12/1/2024,,153000,First Bank,"8,905,001,095",MBA,24,10,3,EMP-00629,Ikeja,36660448671,80333513-2245
EMP-01329,oluwaseun,eze,Mr,14/04/1984,oluwaseun_eze@gtech-solutions.ng,808047368,Osun,Executive,Chief Financial Officer,part-time,Suspended,25-Mar-23,,1811.0K,Sterling Bank,4328315068,M.Sc,21,10,2,,Lagos HQ,Unknown,NIL
EMP-00088,Adebayo, Taiwo,male,24-Nov-76,adebayo.taiwo@gtechsolutions.ng,2.34E+12,Benue,MARKETING,Content Strategist,FT,Active,6/2/2021,,293000,GTBank,963904488,B.Eng,3years,14,Outstanding,EMP-00985,Ikeja,93898331465,TBD
EMP-01316,Adekunle,Adeola,male,10/14/1991,adekunle316@g-tech.com.ng,2.34E+12,Kano,Supply Chain,NULL,contract,Active,11.07.2024,,"N214,000",Ecobank,6642347074,B.A,9,5,3,EMP-01152,Wuse II,83255126691,82036267-3981
EMP-00867,Ifeoma, Eze,FEMALE,9/23/1999,eze.ifeoma@gtechsol.ng,2.34E+12,Bayelsa,Executive,Chief Financial Officer,PART-TIME,Terminated,4-Nov-18,6-Jul-24,"#2,292,000",FCMB,"3,569,521,270",Ph.D,1,20,A,Unknown,GRA PH,96451159059,54476709-7763
EMP-00487,Lanre,ALIYU,MALE,8/5/1976,lanre487@g-tech.com.ng,2.34E+13,Imo,customer service,CS Manager,PT,Suspended,6/17/2023,,"N174,000",Ecobank,6368651875,OND,3years,10,2,EMP-00465,lag hq,35796714803,99598463-1180
EMP-00362,ADEBAYO,ADELEKE,M,20-Aug-89,adebayo.adeleke@gtechsolutions.com.ng,+234 076 786 6413,Bayelsa,sales,Sales Executive,CONTR,Active,10/7/2019,,304000,Fidelity Bank,631049384,B.Eng,2,5,Below Average,EMP-00780,lagos hq,16722104546,76569035-2817
EMP-00824,BLESSING, Nwofor,FEMALE,28/02/1992,blessing.nwofor@gtechsolutions.com.ng,2.34E+13,Plateau,HUMAN RESOURCES,Recruitment Specialist,Full Time,Active,24/10/2023,,"#159,000",,5011857156,B.A,17,12,B,TBD,Lagos Island,90439461622,72577425-8273
